Award,Year,Winning,Name,Film
Music (Original Score),2011,nominated,Hugo ,Howard Shore
Music (Original Score),2011,nominated,Tinker Tailor Soldier Spy ,Alberto Iglesias
Music (Original Score),2011,nominated,War Horse ,John Williams
Music (Original Song),2011,won,"""Man Or Muppet"" from The Muppets",Music and Lyric by Bret McKenzie
Music (Original Song),2011,nominated,"""Real In Rio"" from Rio",Music by Sergio Mendes and Carlinhos Brown; Lyric by Siedah Garrett
Best Picture,2011,won,The Artist ,"Thomas Langmann, Producer"
Best Picture,2011,nominated,The Descendants ,"Jim Burke, Alexander Payne and Jim Taylor, Producers"
Best Picture,2011,nominated,Extremely Loud & Incredibly Close ,"Scott Rudin, Producer"
Best Picture,2011,nominated,The Help ,"Brunson Green, Chris Columbus and Michael Barnathan, Producers"
Best Picture,2011,nominated,Hugo ,"Graham King and Martin Scorsese, Producers"
Best Picture,2011,nominated,Midnight in Paris ,"Letty Aronson and Stephen Tenenbaum, Producers"
Best Picture,2011,nominated,Moneyball ,"Michael De Luca, Rachael Horovitz and Brad Pitt, Producers"
Best Picture,2011,nominated,The Tree of Life ,"Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill, Producers"
Best Picture,2011,nominated,War Horse ,"Steven Spielberg and Kathleen Kennedy, Producers"
Short Film (Animated),2011,nominated,Dimanche/Sunday ,Patrick Doyon
Short Film (Animated),2011,won,The Fantastic Flying Books of Mr. Morris Lessmore ,William Joyce and Brandon Oldenburg
Short Film (Animated),2011,nominated,La Luna ,Enrico Casarosa
Short Film (Animated),2011,nominated,A Morning Stroll ,Grant Orchard and Sue Goffe
Short Film (Animated),2011,nominated,Wild Life ,Amanda Forbis and Wendy Tilby
Short Film (Live Action),2011,nominated,Pentecost ,Peter McDonald and Eimear O'Kane
Short Film (Live Action),2011,nominated,Raju ,Max Zähle and Stefan Gieren
Short Film (Live Action),2011,won,The Shore ,Terry George and Oorlagh George
Short Film (Live Action),2011,nominated,Time Freak ,Andrew Bowler and Gigi Causey
Short Film (Live Action),2011,nominated,Tuba Atlantic ,Hallvar Witzø
Sound Editing,2011,nominated,Drive ,Lon Bender and Victor Ray Ennis
Sound Editing,2011,nominated,The Girl with the Dragon Tattoo ,Ren Klyce
Sound Editing,2011,won,Hugo ,Philip Stockton and Eugene Gearty
Sound Editing,2011,nominated,Transformers: Dark of the Moon ,Ethan Van der Ryn and Erik Aadahl
Sound Editing,2011,nominated,War Horse ,Richard Hymns and Gary Rydstrom
Sound Mixing,2011,nominated,The Girl with the Dragon Tattoo ,"David Parker, Michael Semanick, Ren Klyce and Bo Persson"
Sound Mixing,2011,won,Hugo ,Tom Fleischman and John Midgley
Sound Mixing,2011,nominated,Moneyball ,"Deb Adair, Ron Bochar, David Giammarco and Ed Novick"
Sound Mixing,2011,nominated,Transformers: Dark of the Moon ,"Greg P. Russell, Gary Summers, Jeffrey J. Haboush and Peter J. Devlin"
Sound Mixing,2011,nominated,War Horse ,"Gary Rydstrom, Andy Nelson, Tom Johnson and Stuart Wilson"
Visual Effects,2011,nominated,Harry Potter and the Deathly Hallows Part 2 ,"Tim Burke, David Vickery, Greg Butler and John Richardson"
Visual Effects,2011,won,Hugo ,"Rob Legato, Joss Williams, Ben Grossmann and Alex Henning"
Visual Effects,2011,nominated,Real Steel ,"Erik Nash, John Rosengrant, Dan Taylor and Swen Gillberg"
Visual Effects,2011,nominated,Rise of the Planet of the Apes ,"Joe Letteri, Dan Lemmon, R. Christopher White and Daniel Barrett"
Visual Effects,2011,nominated,Transformers: Dark of the Moon ,"Scott Farrar, Scott Benza, Matthew Butler and John Frazier"
Writing (Adapted Screenplay),2011,won,The Descendants ,Screenplay by Alexander Payne and Nat Faxon & Jim Rash
Writing (Adapted Screenplay),2011,nominated,Hugo ,Screenplay by John Logan
Writing (Adapted Screenplay),2011,nominated,The Ides of March ,Screenplay by George Clooney & Grant Heslov and Beau Willimon
Writing (Adapted Screenplay),2011,nominated,Moneyball ,Screenplay by Steven Zaillian and Aaron Sorkin; Story by Stan Chervin
Writing (Adapted Screenplay),2011,nominated,Tinker Tailor Soldier Spy ,Screenplay by Bridget O'Connor & Peter Straughan
Writing (Original Screenplay),2011,nominated,The Artist ,Written by Michel Hazanavicius
Writing (Original Screenplay),2011,nominated,Bridesmaids ,Written by Annie Mumolo & Kristen Wiig
Writing (Original Screenplay),2011,nominated,Margin Call ,Written by J.C. Chandor
Writing (Original Screenplay),2011,won,Midnight in Paris ,Written by Woody Allen
Writing (Original Screenplay),2011,nominated,A Separation ,Written by Asghar Farhadi
Jean Hersholt Humanitarian Award,2011,won,Oprah Winfrey,
Honorary Award,2011,won,James Earl Jones.,
Honorary Award,2011,won,Dick Smith,
Gordon E. Sawyer Award,2011,won,Douglas Trumbull,
John A. Bonner Medal of Commendation,2011,won,Jonathan Erland,
Actor in a Leading Role,2012,nominated,Bradley Cooper,Silver Linings Playbook
Actor in a Leading Role,2012,won,Daniel Day-Lewis,Lincoln
Actor in a Leading Role,2012,nominated,Hugh Jackman,Les Misérables
Actor in a Leading Role,2012,nominated,Joaquin Phoenix,The Master
Actor in a Leading Role,2012,nominated,Denzel Washington,Flight
Actor in a Supporting Role,2012,nominated,Alan Arkin,Argo
Actor in a Supporting Role,2012,nominated,Robert De Niro,Silver Linings Playbook
Actor in a Supporting Role,2012,nominated,Philip Seymour Hoffman,The Master
Actor in a Supporting Role,2012,nominated,Tommy Lee Jones,Lincoln
Actor in a Supporting Role,2012,won,Christoph Waltz,Django Unchained
Actress in a Leading Role,2012,nominated,Jessica Chastain,Zero Dark Thirty
Actress in a Leading Role,2012,won,Jennifer Lawrence,Silver Linings Playbook
Actress in a Leading Role,2012,nominated,Emmanuelle Riva,Amour
Actress in a Leading Role,2012,nominated,Quvenzhané Wallis,Beasts of the Southern Wild
Actress in a Leading Role,2012,nominated,Naomi Watts,The Impossible
Actress in a Supporting Role,2012,nominated,Amy Adams,The Master
Actress in a Supporting Role,2012,nominated,Sally Field,Lincoln
Actress in a Supporting Role,2012,won,Anne Hathaway,Les Misérables
Actress in a Supporting Role,2012,nominated,Helen Hunt,The Sessions
Actress in a Supporting Role,2012,nominated,Jacki Weaver,Silver Linings Playbook
Animated Feature Film,2012,won,Brave ,Mark Andrews and Brenda Chapman
Animated Feature Film,2012,nominated,Frankenweenie ,Tim Burton
Animated Feature Film,2012,nominated,ParaNorman ,Sam Fell and Chris Butler
Animated Feature Film,2012,nominated,The Pirates! Band of Misfits ,Peter Lord
Animated Feature Film,2012,nominated,Wreck-It Ralph ,Rich Moore
Cinematography,2012,nominated,Anna Karenina ,Seamus McGarvey
Cinematography,2012,nominated,Django Unchained ,Robert Richardson
Cinematography,2012,won,Life of Pi ,Claudio Miranda
Cinematography,2012,nominated,Lincoln ,Janusz Kaminski
Cinematography,2012,nominated,Skyfall ,Roger Deakins
Costume Design,2012,won,Anna Karenina ,Jacqueline Durran
Costume Design,2012,nominated,Les Misérables ,Paco Delgado
Costume Design,2012,nominated,Lincoln ,Joanna Johnston
Costume Design,2012,nominated,Mirror Mirror ,Eiko Ishioka
Costume Design,2012,nominated,Snow White and the Huntsman ,Colleen Atwood
Directing,2012,nominated,Amour ,Michael Haneke
Directing,2012,nominated,Beasts of the Southern Wild ,Benh Zeitlin
Directing,2012,won,Life of Pi ,Ang Lee
Directing,2012,nominated,Lincoln ,Steven Spielberg
Directing,2012,nominated,Silver Linings Playbook ,David O. Russell
Documentary (Feature),2012,nominated,5 Broken Cameras ,Emad Burnat and Guy Davidi
Documentary (Feature),2012,nominated,The Gatekeepers ,"Dror Moreh, Philippa Kowarsky and Estelle Fialon"
Documentary (Feature),2012,nominated,How to Survive a Plague ,David France and Howard Gertler
Documentary (Feature),2012,nominated,The Invisible War ,Kirby Dick and Amy Ziering
Documentary (Feature),2012,won,Searching for Sugar Man ,Malik Bendjelloul and Simon Chinn
Documentary (Short Subject),2012,won,Inocente ,Sean Fine and Andrea Nix Fine
Documentary (Short Subject),2012,nominated,Kings Point ,Sari Gilman and Jedd Wider
Documentary (Short Subject),2012,nominated,Mondays at Racine ,Cynthia Wade and Robin Honan
Documentary (Short Subject),2012,nominated,Open Heart ,Kief Davidson and Cori Shepherd Stern
Documentary (Short Subject),2012,nominated,Redemption ,Jon Alpert and Matthew O'Neill
Film Editing,2012,won,Argo ,William Goldenberg
Film Editing,2012,nominated,Life of Pi ,Tim Squyres
Film Editing,2012,nominated,Lincoln ,Michael Kahn
Film Editing,2012,nominated,Silver Linings Playbook ,Jay Cassidy and Crispin Struthers
Film Editing,2012,nominated,Zero Dark Thirty ,Dylan Tichenor and William Goldenberg
Foreign Language Film,2012,won,Amour ,Austria
Foreign Language Film,2012,nominated,Kon-Tiki ,Norway
Foreign Language Film,2012,nominated,No ,Chile
Foreign Language Film,2012,nominated,A Royal Affair ,Denmark
Foreign Language Film,2012,nominated,War Witch ,Canada
Makeup and Hairstyling,2012,nominated,Hitchcock ,"Howard Berger, Peter Montagna and Martin Samuel"
Makeup and Hairstyling,2012,nominated,The Hobbit: An Unexpected Journey ,"Peter Swords King, Rick Findlater and Tami Lane"
Makeup and Hairstyling,2012,won,Les Misérables ,Lisa Westcott and Julie Dartnell
Music (Original Score),2012,nominated,Anna Karenina ,Dario Marianelli
Music (Original Score),2012,nominated,Argo ,Alexandre Desplat
Music (Original Score),2012,won,Life of Pi ,Mychael Danna
Music (Original Score),2012,nominated,Lincoln ,John Williams
Music (Original Score),2012,nominated,Skyfall ,Thomas Newman
Music (Original Song),2012,nominated,"""Before My Time"" from Chasing Ice",Music and Lyric by J. Ralph
Music (Original Song),2012,nominated,"""Everybody Needs A Best Friend"" from Ted",Music by Walter Murphy; Lyric by Seth MacFarlane
Music (Original Song),2012,nominated,"""Pi's Lullaby"" from Life of Pi",Music by Mychael Danna; Lyric by Bombay Jayashri
Music (Original Song),2012,won,"""Skyfall"" from Skyfall",Music and Lyric by Adele Adkins and Paul Epworth
Music (Original Song),2012,nominated,"""Suddenly"" from Les Misérables",Music by Claude-Michel Schönberg; Lyric by Herbert Kretzmer and Alain Boublil
Best Picture,2012,nominated,Amour ,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers"
Best Picture,2012,won,Argo ,"Grant Heslov, Ben Affleck and George Clooney, Producers"
Best Picture,2012,nominated,Beasts of the Southern Wild ,"Dan Janvey, Josh Penn and Michael Gottwald, Producers"
Best Picture,2012,nominated,Django Unchained ,"Stacey Sher, Reginald Hudlin and Pilar Savone, Producers"
Best Picture,2012,nominated,Les Misérables ,"Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers"
Best Picture,2012,nominated,Life of Pi ,"Gil Netter, Ang Lee and David Womark, Producers"
Best Picture,2012,nominated,Lincoln ,"Steven Spielberg and Kathleen Kennedy, Producers"
Best Picture,2012,nominated,Silver Linings Playbook ,"Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers"
Best Picture,2012,nominated,Zero Dark Thirty ,"Mark Boal, Kathryn Bigelow and Megan Ellison, Producers"
Production Design,2012,nominated,Anna Karenina ,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer
Production Design,2012,nominated,The Hobbit: An Unexpected Journey ,Production Design: Dan Hennah; Set Decoration: Ra Vincent and Simon Bright
Production Design,2012,nominated,Les Misérables ,Production Design: Eve Stewart; Set Decoration: Anna Lynch-Robinson
Production Design,2012,nominated,Life of Pi ,Production Design: David Gropman; Set Decoration: Anna Pinnock
Production Design,2012,won,Lincoln ,Production Design: Rick Carter; Set Decoration: Jim Erickson
Short Film (Animated),2012,nominated,Adam and Dog ,Minkyu Lee
Short Film (Animated),2012,nominated,Fresh Guacamole ,PES
Short Film (Animated),2012,nominated,Head over Heels ,Timothy Reckart and Fodhla Cronin O'Reilly
Short Film (Animated),2012,nominated,"Maggie Simpson in ""The Longest Daycare"" ",David Silverman
Short Film (Animated),2012,won,Paperman ,John Kahrs
Short Film (Live Action),2012,nominated,Asad ,Bryan Buckley and Mino Jarjoura
Short Film (Live Action),2012,nominated,Buzkashi Boys ,Sam French and Ariel Nasr
Short Film (Live Action),2012,won,Curfew ,Shawn Christensen
Short Film (Live Action),2012,nominated,Death of a Shadow (Dood van een Schaduw) ,Tom Van Avermaet and Ellen De Waele
Short Film (Live Action),2012,nominated,Henry ,Yan England
Sound Editing,2012,nominated,Argo ,Erik Aadahl and Ethan Van der Ryn
Sound Editing,2012,nominated,Django Unchained ,Wylie Stateman
Sound Editing,2012,nominated,Life of Pi ,Eugene Gearty and Philip Stockton
Sound Editing,2012,won,Skyfall ,Per Hallberg and Karen Baker Landers
Sound Editing,2012,won,Zero Dark Thirty ,Paul N.J. Ottosson
Sound Mixing,2012,nominated,Argo ,"John Reitz, Gregg Rudloff and Jose Antonio Garcia"
Sound Mixing,2012,won,Les Misérables ,"Andy Nelson, Mark Paterson and Simon Hayes"
Sound Mixing,2012,nominated,Life of Pi ,"Ron Bartlett, D.M. Hemphill and Drew Kunin"
Sound Mixing,2012,nominated,Lincoln ,"Andy Nelson, Gary Rydstrom and Ronald Judkins"
Sound Mixing,2012,nominated,Skyfall ,"Scott Millan, Greg P. Russell and Stuart Wilson"
Visual Effects,2012,nominated,The Hobbit: An Unexpected Journey ,"Joe Letteri, Eric Saindon, David Clayton and R. Christopher White"
Visual Effects,2012,won,Life of Pi ,"Bill Westenhofer, Guillaume Rocheron, Erik-Jan De Boer and Donald R. Elliott"
Visual Effects,2012,nominated,Marvel's The Avengers ,"Janek Sirrs, Jeff White, Guy Williams and Dan Sudick"
Visual Effects,2012,nominated,Prometheus ,"Richard Stammers, Trevor Wood, Charley Henley and Martin Hill"
Visual Effects,2012,nominated,Snow White and the Huntsman ,"Cedric Nicolas-Troyan, Philip Brennan, Neil Corbould and Michael Dawson"
Writing (Adapted Screenplay),2012,won,Argo ,Screenplay by Chris Terrio
Writing (Adapted Screenplay),2012,nominated,Beasts of the Southern Wild ,Screenplay by Lucy Alibar & Benh Zeitlin
Writing (Adapted Screenplay),2012,nominated,Life of Pi ,Screenplay by David Magee
Writing (Adapted Screenplay),2012,nominated,Lincoln ,Screenplay by Tony Kushner
Writing (Adapted Screenplay),2012,nominated,Silver Linings Playbook ,Screenplay by David O. Russell
Writing (Original Screenplay),2012,nominated,Amour ,Written by Michael Haneke
Writing (Original Screenplay),2012,won,Django Unchained ,Written by Quentin Tarantino
Writing (Original Screenplay),2012,nominated,Flight ,Written by John Gatins
Writing (Original Screenplay),2012,nominated,Moonrise Kingdom ,Written by Wes Anderson & Roman Coppola
Writing (Original Screenplay),2012,nominated,Zero Dark Thirty ,Written by Mark Boal
Jean Hersholt Humanitarian Award,2012,won,Jeffrey Katzenberg,
Honorary Award,2012,won,Hal Needham,
Honorary Award,2012,won,D.A. Pennebaker,
Honorary Award,2012,won,"George Stevens, Jr.",
John A. Bonner Medal of Commendation,2012,won,Bill Taylor,
Actor in a Leading Role,2013,nominated,Christian Bale,American Hustle
Actor in a Leading Role,2013,nominated,Bruce Dern,Nebraska
Actor in a Leading Role,2013,nominated,Leonardo DiCaprio,The Wolf of Wall Street
Actor in a Leading Role,2013,nominated,Chiwetel Ejiofor,12 Years a Slave
Actor in a Leading Role,2013,won,Matthew McConaughey,Dallas Buyers Club
Actor in a Supporting Role,2013,nominated,Barkhad Abdi,Captain Phillips
Actor in a Supporting Role,2013,nominated,Bradley Cooper,American Hustle
Actor in a Supporting Role,2013,nominated,Michael Fassbender,12 Years a Slave
Actor in a Supporting Role,2013,nominated,Jonah Hill,The Wolf of Wall Street
Actor in a Supporting Role,2013,won,Jared Leto,Dallas Buyers Club
Actress in a Leading Role,2013,nominated,Amy Adams,American Hustle
Actress in a Leading Role,2013,won,Cate Blanchett,Blue Jasmine
Actress in a Leading Role,2013,nominated,Sandra Bullock,Gravity
Actress in a Leading Role,2013,nominated,Judi Dench,Philomena
Actress in a Leading Role,2013,nominated,Meryl Streep,August: Osage County
Actress in a Supporting Role,2013,nominated,Sally Hawkins,Blue Jasmine
Actress in a Supporting Role,2013,nominated,Jennifer Lawrence,American Hustle
Actress in a Supporting Role,2013,won,Lupita Nyong'o,12 Years a Slave
Actress in a Supporting Role,2013,nominated,Julia Roberts,August: Osage County
Actress in a Supporting Role,2013,nominated,June Squibb,Nebraska
Animated Feature Film,2013,nominated,The Croods ,"Chris Sanders, Kirk DeMicco and Kristine Belson"
Animated Feature Film,2013,nominated,Despicable Me 2 ,"Chris Renaud, Pierre Coffin and Chris Meledandri"
Animated Feature Film,2013,nominated,Ernest & Celestine ,Benjamin Renner and Didier Brunner
Animated Feature Film,2013,won,Frozen ,"Chris Buck, Jennifer Lee and Peter Del Vecho"
Animated Feature Film,2013,nominated,The Wind Rises ,Hayao Miyazaki and Toshio Suzuki
Cinematography,2013,nominated,The Grandmaster ,Philippe Le Sourd
Cinematography,2013,won,Gravity ,Emmanuel Lubezki
Cinematography,2013,nominated,Inside Llewyn Davis ,Bruno Delbonnel
Cinematography,2013,nominated,Nebraska ,Phedon Papamichael
Cinematography,2013,nominated,Prisoners ,Roger A. Deakins
Costume Design,2013,nominated,American Hustle ,Michael Wilkinson
Costume Design,2013,nominated,The Grandmaster ,William Chang Suk Ping
Costume Design,2013,won,The Great Gatsby ,Catherine Martin
Costume Design,2013,nominated,The Invisible Woman ,Michael O'Connor
Costume Design,2013,nominated,12 Years a Slave ,Patricia Norris
Directing,2013,nominated,American Hustle ,David O. Russell
Directing,2013,won,Gravity ,Alfonso Cuarón
Directing,2013,nominated,Nebraska ,Alexander Payne
Directing,2013,nominated,12 Years a Slave ,Steve McQueen
Directing,2013,nominated,The Wolf of Wall Street ,Martin Scorsese
Documentary (Feature),2013,nominated,The Act of Killing ,Joshua Oppenheimer and Signe Byrge Sørensen
Documentary (Feature),2013,nominated,Cutie and the Boxer ,Zachary Heinzerling and Lydia Dean Pilcher
Documentary (Feature),2013,nominated,Dirty Wars ,Richard Rowley and Jeremy Scahill
Documentary (Feature),2013,nominated,The Square ,Jehane Noujaim and Karim Amer
Documentary (Feature),2013,won,20 Feet from Stardom ,"Morgan Neville, Gil Friesen and Caitrin Rogers"
Documentary (Short Subject),2013,nominated,CaveDigger ,Jeffrey Karoff
Documentary (Short Subject),2013,nominated,Facing Fear ,Jason Cohen
Documentary (Short Subject),2013,nominated,Karama Has No Walls ,Sara Ishaq
Documentary (Short Subject),2013,won,The Lady in Number 6: Music Saved My Life ,Malcolm Clarke and Nicholas Reed
Documentary (Short Subject),2013,nominated,Prison Terminal: The Last Days of Private Jack Hall ,Edgar Barens
Film Editing,2013,nominated,American Hustle ,"Jay Cassidy, Crispin Struthers and Alan Baumgarten"
Film Editing,2013,nominated,Captain Phillips ,Christopher Rouse
Film Editing,2013,nominated,Dallas Buyers Club ,John Mac McMurphy and Martin Pensa
Film Editing,2013,won,Gravity ,Alfonso Cuarón and Mark Sanger
Film Editing,2013,nominated,12 Years a Slave ,Joe Walker
Foreign Language Film,2013,nominated,The Broken Circle Breakdown ,Belgium
Foreign Language Film,2013,won,The Great Beauty ,Italy
Foreign Language Film,2013,nominated,The Hunt ,Denmark
Foreign Language Film,2013,nominated,The Missing Picture ,Cambodia
Foreign Language Film,2013,nominated,Omar ,Palestine
Makeup and Hairstyling,2013,won,Dallas Buyers Club ,Adruitha Lee and Robin Mathews
Makeup and Hairstyling,2013,nominated,Jackass Presents: Bad Grandpa ,Stephen Prouty
Makeup and Hairstyling,2013,nominated,The Lone Ranger ,Joel Harlow and Gloria Pasqua-Casny
Music (Original Score),2013,nominated,The Book Thief ,John Williams
Music (Original Score),2013,won,Gravity ,Steven Price
Music (Original Score),2013,nominated,Her ,William Butler and Owen Pallett
Music (Original Score),2013,nominated,Philomena ,Alexandre Desplat
Music (Original Score),2013,nominated,Saving Mr. Banks ,Thomas Newman
Music (Original Song),2013,nominated,"""Alone Yet Not Alone"" from Alone Yet Not Alone",Music by Bruce Broughton; Lyric by Dennis Spiegel
Music (Original Song),2013,nominated,"""Happy"" from Despicable Me 2",Music and Lyric by Pharrell Williams
Music (Original Song),2013,won,"""Let It Go"" from Frozen",Music and Lyric by Kristen Anderson-Lopez and Robert Lopez
Music (Original Song),2013,nominated,"""The Moon Song"" from Her",Music by Karen O; Lyric by Karen O and Spike Jonze
Music (Original Song),2013,nominated,"""Ordinary Love"" from Mandela: Long Walk to Freedom","Music by Paul Hewson, Dave Evans, Adam Clayton and Larry Mullen; Lyric by Paul Hewson"
Best Picture,2013,nominated,American Hustle ,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers"
Best Picture,2013,nominated,Captain Phillips ,"Scott Rudin, Dana Brunetti and Michael De Luca, Producers"
Best Picture,2013,nominated,Dallas Buyers Club ,"Robbie Brenner and Rachel Winter, Producers"
Best Picture,2013,nominated,Gravity ,"Alfonso Cuarón and David Heyman, Producers"
Best Picture,2013,nominated,Her ,"Megan Ellison, Spike Jonze and Vincent Landay, Producers"
Best Picture,2013,nominated,Nebraska ,"Albert Berger and Ron Yerxa, Producers"
Best Picture,2013,nominated,Philomena ,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers"
Best Picture,2013,won,12 Years a Slave ,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers"
Best Picture,2013,nominated,The Wolf of Wall Street ,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers"
Production Design,2013,nominated,American Hustle ,Production Design: Judy Becker; Set Decoration: Heather Loeffler
Production Design,2013,nominated,Gravity ,Production Design: Andy Nicholson; Set Decoration: Rosie Goodwin and Joanne Woollard
Production Design,2013,won,The Great Gatsby ,Production Design: Catherine Martin; Set Decoration: Beverley Dunn
Production Design,2013,nominated,Her ,Production Design: K.K. Barrett; Set Decoration: Gene Serdena
Production Design,2013,nominated,12 Years a Slave ,Production Design: Adam Stockhausen; Set Decoration: Alice Baker
Short Film (Animated),2013,nominated,Feral ,Daniel Sousa and Dan Golden
Short Film (Animated),2013,nominated,Get a Horse! ,Lauren MacMullan and Dorothy McKim
Short Film (Animated),2013,won,Mr. Hublot ,Laurent Witz and Alexandre Espigares
Short Film (Animated),2013,nominated,Possessions ,Shuhei Morita
Short Film (Animated),2013,nominated,Room on the Broom ,Max Lang and Jan Lachauer
Short Film (Live Action),2013,nominated,Aquel No Era Yo (That Wasn't Me) ,Esteban Crespo
Short Film (Live Action),2013,nominated,Avant Que De Tout Perdre (Just before Losing Everything) ,Xavier Legrand and Alexandre Gavras
Short Film (Live Action),2013,won,Helium ,Anders Walter and Kim Magnusson
Short Film (Live Action),2013,nominated,Pitääkö Mun Kaikki Hoitaa? (Do I Have to Take Care of Everything?) ,Selma Vilhunen and Kirsikka Saari
Short Film (Live Action),2013,nominated,The Voorman Problem ,Mark Gill and Baldwin Li
Sound Editing,2013,nominated,All Is Lost ,Steve Boeddeker and Richard Hymns
Sound Editing,2013,nominated,Captain Phillips ,Oliver Tarney
Sound Editing,2013,won,Gravity ,Glenn Freemantle
Sound Editing,2013,nominated,The Hobbit: The Desolation of Smaug ,Brent Burge and Chris Ward
Sound Editing,2013,nominated,Lone Survivor ,Wylie Stateman
Sound Mixing,2013,nominated,Captain Phillips ,"Chris Burdon, Mark Taylor, Mike Prestwood Smith and Chris Munro"
Sound Mixing,2013,won,Gravity ,"Skip Lievsay, Niv Adiri, Christopher Benstead and Chris Munro"
Sound Mixing,2013,nominated,The Hobbit: The Desolation of Smaug ,"Christopher Boyes, Michael Hedges, Michael Semanick and Tony Johnson"
Sound Mixing,2013,nominated,Inside Llewyn Davis ,"Skip Lievsay, Greg Orloff and Peter F. Kurland"
Sound Mixing,2013,nominated,Lone Survivor ,"Andy Koyama, Beau Borders and David Brownlow"
Visual Effects,2013,won,Gravity ,"Tim Webber, Chris Lawrence, David Shirk and Neil Corbould"
Visual Effects,2013,nominated,The Hobbit: The Desolation of Smaug ,"Joe Letteri, Eric Saindon, David Clayton and Eric Reynolds"
Visual Effects,2013,nominated,Iron Man 3 ,"Christopher Townsend, Guy Williams, Erik Nash and Dan Sudick"
Visual Effects,2013,nominated,The Lone Ranger ,"Tim Alexander, Gary Brozenich, Edson Williams and John Frazier"
Visual Effects,2013,nominated,Star Trek Into Darkness ,"Roger Guyett, Patrick Tubach, Ben Grossmann and Burt Dalton"
Writing (Adapted Screenplay),2013,nominated,Before Midnight ,"Written by Richard Linklater, Julie Delpy, Ethan Hawke"
Writing (Adapted Screenplay),2013,nominated,Captain Phillips ,Screenplay by Billy Ray
Writing (Adapted Screenplay),2013,nominated,Philomena ,Screenplay by Steve Coogan and Jeff Pope
Writing (Adapted Screenplay),2013,won,12 Years a Slave ,Screenplay by John Ridley
Writing (Adapted Screenplay),2013,nominated,The Wolf of Wall Street ,Screenplay by Terence Winter
Writing (Original Screenplay),2013,nominated,American Hustle ,Written by Eric Warren Singer and David O. Russell
Writing (Original Screenplay),2013,nominated,Blue Jasmine ,Written by Woody Allen
Writing (Original Screenplay),2013,nominated,Dallas Buyers Club ,Written by Craig Borten & Melisa Wallack
Writing (Original Screenplay),2013,won,Her ,Written by Spike Jonze
Writing (Original Screenplay),2013,nominated,Nebraska ,Written by Bob Nelson
Jean Hersholt Humanitarian Award,2013,won,Angelina Jolie,
Honorary Award,2013,won,Angela Lansbury,
Honorary Award,2013,won,Steve Martin,
Honorary Award,2013,won,Piero Tosi,
Gordon E. Sawyer Award,2013,won,Peter W. Anderson,
John A. Bonner Medal of Commendation,2013,won,"Charles ""Tad"" Marburg",
Actor in a Leading Role,2014,nominated,Steve Carell,Foxcatcher
Actor in a Leading Role,2014,nominated,Bradley Cooper,American Sniper
Actor in a Leading Role,2014,nominated,Benedict Cumberbatch,The Imitation Game
Actor in a Leading Role,2014,nominated,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance)
Actor in a Leading Role,2014,won,Eddie Redmayne,The Theory of Everything
Actor in a Supporting Role,2014,nominated,Robert Duvall,The Judge
Actor in a Supporting Role,2014,nominated,Ethan Hawke,Boyhood
Actor in a Supporting Role,2014,nominated,Edward Norton,Birdman or (The Unexpected Virtue of Ignorance)
Actor in a Supporting Role,2014,nominated,Mark Ruffalo,Foxcatcher
Actor in a Supporting Role,2014,won,J.K. Simmons,Whiplash
Actress in a Leading Role,2014,nominated,Marion Cotillard,"Two Days, One Night"
Actress in a Leading Role,2014,nominated,Felicity Jones,The Theory of Everything
Actress in a Leading Role,2014,won,Julianne Moore,Still Alice
Actress in a Leading Role,2014,nominated,Rosamund Pike,Gone Girl
Actress in a Leading Role,2014,nominated,Reese Witherspoon,Wild
Actress in a Supporting Role,2014,won,Patricia Arquette,Boyhood
Actress in a Supporting Role,2014,nominated,Laura Dern,Wild
Actress in a Supporting Role,2014,nominated,Keira Knightley,The Imitation Game
Actress in a Supporting Role,2014,nominated,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance)
Actress in a Supporting Role,2014,nominated,Meryl Streep,Into the Woods
Animated Feature Film,2014,won,Big Hero 6 ,"Don Hall, Chris Williams and Roy Conli"
Animated Feature Film,2014,nominated,The Boxtrolls ,"Anthony Stacchi, Graham Annable and Travis Knight"
Animated Feature Film,2014,nominated,How to Train Your Dragon 2 ,Dean DeBlois and Bonnie Arnold
Animated Feature Film,2014,nominated,Song of the Sea ,Tomm Moore and Paul Young
Animated Feature Film,2014,nominated,The Tale of the Princess Kaguya ,Isao Takahata and Yoshiaki Nishimura
Cinematography,2014,won,Birdman or (The Unexpected Virtue of Ignorance) ,Emmanuel Lubezki
Cinematography,2014,nominated,The Grand Budapest Hotel ,Robert Yeoman
Cinematography,2014,nominated,Ida ,Lukasz Zal and Ryszard Lenczewski
Cinematography,2014,nominated,Mr. Turner ,Dick Pope
