Award,Year,Winning,Name,Film
Actress,1935,nominated,Merle Oberon,The Dark Angel
Art Direction,1935,won,The Dark Angel ,Richard Day
Art Direction,1935,nominated,The Lives of a Bengal Lancer ,"Hans Dreier, Roland Anderson [Third]"
Art Direction,1935,nominated,Top Hat ,"Van Nest Polglase, Carroll Clark [Second]"
Assistant Director,1935,nominated,David Copperfield ,Joseph Newman [Third]
Assistant Director,1935,nominated,Les Miserables ,Eric Stacey
Assistant Director,1935,won,The Lives of a Bengal Lancer ,"Clem Beauchamp, Paul Wing"
Assistant Director,1935,nominated,A Midsummer Night's Dream ,Sherry Shourds [Second]
Cinematography,1935,nominated,Barbary Coast ,Ray June
Cinematography,1935,nominated,The Crusades ,Victor Milner [Third]
Cinematography,1935,nominated,Les Miserables ,Gregg Toland [Second]
Cinematography,1935,won,A Midsummer Night's Dream ,Hal Mohr
Dance Direction,1935,nominated,Busby Berkeley,Lullaby of Broadway and The Words Are In My Heart numbers from Gold Diggers of 1935 [Third]
Dance Direction,1935,nominated,Bobby Connolly,Latin from Manhattan number from Go into Your Dance
Dance Direction,1935,nominated,Bobby Connolly,Latin from Manhattan number from Go into Your Dance; and Playboy from Paree number from Broadway Hostess
Dance Direction,1935,won,Dave Gould,I've Got a Feeling You're Fooling number from Broadway Melody of 1936; and Straw Hat number from Folies Bergere
Dance Direction,1935,nominated,Sammy Lee,Lovely Lady and Too Good To Be True numbers from King of Burlesque
Dance Direction,1935,nominated,Hermes Pan,"Piccolino and Top Hat, White Tie, and Tails numbers from Top Hat [Second]"
Dance Direction,1935,nominated,LeRoy Prinz,It's the Animal in Me number from Big Broadcast of 1936; and Viennese Waltz number from All the King's Horses
Dance Direction,1935,nominated,Benjamin Zemach,Hall of Kings number from She
Directing,1935,nominated,Captain Blood ,Michael Curtiz [Second]
Directing,1935,won,The Informer ,John Ford
Directing,1935,nominated,The Lives of a Bengal Lancer ,Henry Hathaway [Third]
Directing,1935,nominated,Mutiny on the Bounty ,Frank Lloyd
Film Editing,1935,nominated,David Copperfield ,Robert J. Kern
Film Editing,1935,nominated,The Informer ,George Hively [Third]
Film Editing,1935,nominated,Les Miserables ,Barbara McLean
Film Editing,1935,nominated,The Lives of a Bengal Lancer ,Ellsworth Hoagland
Film Editing,1935,won,A Midsummer Night's Dream ,Ralph Dawson
Film Editing,1935,nominated,Mutiny on the Bounty ,Margaret Booth [Second]
Music (Scoring),1935,nominated,Captain Blood ,"Warner Brothers-First National Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold) [Third]"
Music (Scoring),1935,won,The Informer ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)"
Music (Scoring),1935,nominated,Mutiny on the Bounty ,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart) [Second]"
Music (Scoring),1935,nominated,Peter Ibbetson ,"Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)"
