Year,Award,Winning,Name,Film
1935,Film Editing,nominated,Mutiny on the Bounty ,Margaret Booth [Second]
1935,Music (Scoring),nominated,Captain Blood ,"Warner Brothers-First National Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold) [Third]"
1935,Music (Scoring),won,The Informer ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)"
1935,Music (Scoring),nominated,Mutiny on the Bounty ,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart) [Second]"
1935,Music (Scoring),nominated,Peter Ibbetson ,"Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)"
1935,Music (Song),nominated,"""Cheek To Cheek"" from Top Hat",Music and Lyrics by Irving Berlin [Second]
1935,Music (Song),nominated,"""Lovely To Look At"" from Roberta",Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh [Third]
1935,Music (Song),won,"""Lullaby Of Broadway"" from Gold Diggers of 1935",Music by Harry Warren; Lyrics by Al Dubin
1935,Outstanding Production,nominated,Alice Adams ,RKO Radio
1935,Outstanding Production,nominated,Broadway Melody of 1936 ,Metro-Goldwyn-Mayer
1935,Outstanding Production,nominated,Captain Blood ,Cosmopolitan [Third]
1935,Outstanding Production,nominated,David Copperfield ,Metro-Goldwyn-Mayer
1935,Outstanding Production,nominated,The Informer ,RKO Radio [Second]
1935,Outstanding Production,nominated,Les Miserables ,20th Century
1935,Outstanding Production,nominated,The Lives of a Bengal Lancer ,Paramount
1935,Outstanding Production,nominated,A Midsummer Night's Dream ,Warner Brothers
1935,Outstanding Production,won,Mutiny on the Bounty ,Metro-Goldwyn-Mayer
1935,Outstanding Production,nominated,Naughty Marietta ,Metro-Goldwyn-Mayer
1935,Outstanding Production,nominated,Ruggles of Red Gap ,Paramount
1935,Outstanding Production,nominated,Top Hat ,RKO Radio
1935,Short Subject (Cartoon),nominated,The Calico Dragon ,Harman-Ising [Third]
1935,Short Subject (Cartoon),won,Three Orphan Kittens ,"Walt Disney, Producer"
1935,Short Subject (Cartoon),nominated,Who Killed Cock Robin? ,"Walt Disney, Producer [Second]"
1935,Short Subject (Comedy),won,How to Sleep ,"Jack Chertok, Producer"
1935,Short Subject (Comedy),nominated,"Oh, My Nerves ","Jules White, Producer [Second]"
1935,Short Subject (Comedy),nominated,Tit for Tat ,"Hal Roach, Producer [Third]"
1935,Short Subject (Novelty),nominated,Audioscopiks ,"Pete Smith, Producer [tied for 2nd]"
1935,Short Subject (Novelty),nominated,Camera Thrills ,Universal [tied for 2nd]
1935,Short Subject (Novelty),won,Wings over Mt. Everest ,Gaumont British and Skibo Productions
1935,Sound Recording,nominated,Bride of Frankenstein ,"Universal Studio Sound Department, Gilbert Kurland, Sound Director"
1935,Sound Recording,nominated,Captain Blood ,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
1935,Sound Recording,nominated,The Dark Angel ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1935,Sound Recording,nominated,I Dream Too Much ,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director"
1935,Sound Recording,nominated,The Lives of a Bengal Lancer ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director [Third]"
1935,Sound Recording,nominated,Love Me Forever ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1935,Sound Recording,won,Naughty Marietta ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1935,Sound Recording,nominated,"$1,000 a Minute ",Republic Studio Sound Department
1935,Sound Recording,nominated,Thanks a Million ,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1935,Writing (Original Story),nominated,Broadway Melody of 1936 ,Moss Hart [Third]
1935,Writing (Original Story),nominated,G-Men ,Gregory Rogers [Second]
1935,Writing (Original Story),nominated,The Gay Deception ,"Don Hartman, Stephen Avery"
1935,Writing (Original Story),won,The Scoundrel ,"Ben Hecht, Charles MacArthur"
1935,Writing (Screenplay),nominated,Captain Blood ,Casey Robinson [Third]
1935,Writing (Screenplay),won,The Informer ,Dudley Nichols
1935,Writing (Screenplay),nominated,The Lives of a Bengal Lancer ,"Screenplay by Waldemar Young, John L. Balderston, Achmed Abdullah; Adaptation by Grover Jones, William Slavens McNutt"
1935,Writing (Screenplay),nominated,Mutiny on the Bounty ,"Talbot Jennings, Jules Furthman, Carey Wilson [Second]"
1935,Special Award,won,David Wark Griffith,
1936,Actor,nominated,Gary Cooper,Mr. Deeds Goes to Town
1936,Actor,nominated,Walter Huston,Dodsworth
1936,Actor,won,Paul Muni,The Story of Louis Pasteur
1936,Actor,nominated,William Powell,My Man Godfrey
1936,Actor,nominated,Spencer Tracy,San Francisco
1936,Actor in a Supporting Role,nominated,Mischa Auer,My Man Godfrey
1936,Actor in a Supporting Role,won,Walter Brennan,Come and Get It
1936,Actor in a Supporting Role,nominated,Stuart Erwin,Pigskin Parade
1936,Actor in a Supporting Role,nominated,Basil Rathbone,Romeo and Juliet
1936,Actor in a Supporting Role,nominated,Akim Tamiroff,The General Died at Dawn
1936,Actress,nominated,Irene Dunne,Theodora Goes Wild
1936,Actress,nominated,Gladys George,Valiant Is the Word for Carrie
1936,Actress,nominated,Carole Lombard,My Man Godfrey
1936,Actress,won,Luise Rainer,The Great Ziegfeld
1936,Actress,nominated,Norma Shearer,Romeo and Juliet
1936,Actress in a Supporting Role,nominated,Beulah Bondi,The Gorgeous Hussy
1936,Actress in a Supporting Role,nominated,Alice Brady,My Man Godfrey
1936,Actress in a Supporting Role,nominated,Bonita Granville,These Three
1936,Actress in a Supporting Role,nominated,Maria Ouspenskaya,Dodsworth
1936,Actress in a Supporting Role,won,Gale Sondergaard,Anthony Adverse
1936,Art Direction,nominated,Anthony Adverse ,Anton Grot
1936,Art Direction,won,Dodsworth ,Richard Day
1936,Art Direction,nominated,The Great Ziegfeld ,"Cedric Gibbons, Eddie Imazu, Edwin B. Willis"
1936,Art Direction,nominated,Lloyds of London ,William S. Darling
1936,Art Direction,nominated,The Magnificent Brute ,"Albert S. D'Agostino, Jack Otterson"
1936,Art Direction,nominated,Romeo and Juliet ,"Cedric Gibbons, Fredric Hope, Edwin B. Willis"
1936,Art Direction,nominated,Winterset ,Perry Ferguson
1936,Assistant Director,nominated,Anthony Adverse ,William Cannon
1936,Assistant Director,won,The Charge of the Light Brigade ,Jack Sullivan
1936,Assistant Director,nominated,The Garden of Allah ,Eric G. Stacey
1936,Assistant Director,nominated,The Last of the Mohicans ,Clem Beauchamp
1936,Assistant Director,nominated,San Francisco ,Joseph Newman
1936,Cinematography,won,Anthony Adverse ,Gaetano Gaudio
1936,Cinematography,nominated,The General Died at Dawn ,Victor Milner
1936,Cinematography,nominated,The Gorgeous Hussy ,George Folsey
1936,Dance Direction,nominated,Busby Berkeley,Love and War number from Gold Diggers of 1937
1936,Dance Direction,nominated,Bobby Connolly,1000 Love Songs number from Cain and Mabel
1936,Dance Direction,won,Seymour Felix,A Pretty Girl Is Like a Melody number from The Great Ziegfeld
1936,Dance Direction,nominated,Dave Gould,Swingin' the Jinx number from Born to Dance
1936,Dance Direction,nominated,Jack Haskell,Skating Ensemble number from One in a Million
1936,Dance Direction,nominated,Russell Lewis,The Finale number from Dancing Pirate
1936,Dance Direction,nominated,Hermes Pan,Bojangles of Harlem number from Swing Time
1936,Directing,nominated,Dodsworth ,William Wyler
1936,Directing,nominated,The Great Ziegfeld ,Robert Z. Leonard
1936,Directing,won,Mr. Deeds Goes to Town ,Frank Capra
1936,Directing,nominated,My Man Godfrey ,Gregory La Cava
1936,Directing,nominated,San Francisco ,W. S. Van Dyke
1936,Film Editing,won,Anthony Adverse ,Ralph Dawson
1936,Film Editing,nominated,Come and Get It ,Edward Curtiss
1936,Film Editing,nominated,The Great Ziegfeld ,William S. Gray
1936,Film Editing,nominated,Lloyds of London ,Barbara McLean
1936,Film Editing,nominated,A Tale of Two Cities ,Conrad A. Nervig
1936,Film Editing,nominated,Theodora Goes Wild ,Otto Meyer
1936,Music (Scoring),won,Anthony Adverse ,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)"
1936,Music (Scoring),nominated,The Charge of the Light Brigade ,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)"
1936,Music (Scoring),nominated,The Garden of Allah ,"Selznick International Pictures Music Department, Max Steiner, head of department  (Score by Max Steiner)"
1936,Music (Scoring),nominated,The General Died at Dawn ,"Paramount Studio Music Department, Boris Morros, head of department  (Score by Werner Janssen)"
1936,Music (Scoring),nominated,Winterset ,"RKO Radio Studio Music Department, Nathaniel Shilkret, head of department  (Score by Nathaniel Shilkret)"
1936,Music (Song),nominated,"""Did I Remember"" from Suzy",Music by Walter Donaldson; Lyrics by Harold Adamson
1936,Music (Song),nominated,"""I've Got You Under My Skin"" from Born to Dance",Music and Lyrics by Cole Porter
1936,Music (Song),nominated,"""A Melody From The Sky"" from Trail of the Lonesome Pine",Music by Louis Alter; Lyrics by Sidney Mitchell
1936,Music (Song),nominated,"""Pennies From Heaven"" from Pennies from Heaven",Music by Arthur Johnston; Lyrics by Johnny Burke
1936,Music (Song),won,"""The Way You Look Tonight"" from Swing Time",Music by Jerome Kern; Lyrics by Dorothy Fields
1936,Music (Song),nominated,"""When Did You Leave Heaven"" from Sing, Baby, Sing",Music by Richard A. Whiting; Lyrics by Walter Bullock
1936,Outstanding Production,nominated,Anthony Adverse ,Warner Brothers
1936,Outstanding Production,nominated,Dodsworth ,Samuel Goldwyn Productions
1936,Outstanding Production,won,The Great Ziegfeld ,Metro-Goldwyn-Mayer
1936,Outstanding Production,nominated,Libeled Lady ,Metro-Goldwyn-Mayer
1936,Outstanding Production,nominated,Mr. Deeds Goes to Town ,Columbia
1936,Outstanding Production,nominated,Romeo and Juliet ,Metro-Goldwyn-Mayer
1936,Outstanding Production,nominated,San Francisco ,Metro-Goldwyn-Mayer
1936,Outstanding Production,nominated,The Story of Louis Pasteur ,Cosmopolitan
1936,Outstanding Production,nominated,A Tale of Two Cities ,Metro-Goldwyn-Mayer
1936,Outstanding Production,nominated,Three Smart Girls ,Universal
1936,Short Subject (Cartoon),won,The Country Cousin ,"Walt Disney, Producer"
1936,Short Subject (Cartoon),nominated,Old Mill Pond ,Harman-Ising
1936,Short Subject (Cartoon),nominated,Sinbad the Sailor ,Paramount
1936,Short Subject (Color),won,Give Me Liberty ,Warner Brothers
1936,Short Subject (Color),nominated,La Fiesta de Santa Barbara ,"Lewis Lewyn, Producer"
1936,Short Subject (Color),nominated,Popular Science J-6-2 ,Paramount
1936,Short Subject (One Reel),won,Bored of Education ,"Hal Roach, Producer"
1936,Short Subject (One Reel),nominated,Moscow Moods ,Paramount
1936,Short Subject (One Reel),nominated,"Wanted, a Master ","Pete Smith, Producer"
1936,Short Subject (Two Reel),nominated,Double or Nothing ,Warner Brothers
1936,Short Subject (Two Reel),nominated,Dummy Ache ,RKO Radio
1936,Short Subject (Two Reel),won,The Public Pays ,Metro-Goldwyn-Mayer
1936,Sound Recording,nominated,Banjo on My Knee ,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1936,Sound Recording,nominated,The Charge of the Light Brigade ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1936,Sound Recording,nominated,Dodsworth ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1936,Sound Recording,nominated,General Spanky ,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director"
1936,Sound Recording,nominated,Mr. Deeds Goes to Town ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1936,Sound Recording,won,San Francisco ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1936,Sound Recording,nominated,The Texas Rangers ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1936,Sound Recording,nominated,That Girl from Paris ,"RKO Radio Studio Sound Department, J. O. Aalberg, Sound Director"
1936,Sound Recording,nominated,Three Smart Girls ,"Universal Studio Sound Department, Homer G. Tasker, Sound Director"
1936,Writing (Original Story),nominated,Fury ,Norman Krasna
1936,Writing (Original Story),nominated,The Great Ziegfeld ,William Anthony McGuire
1936,Writing (Original Story),nominated,San Francisco ,Robert Hopkins
1936,Writing (Original Story),won,The Story of Louis Pasteur ,"Pierre Collings, Sheridan Gibney"
1936,Writing (Original Story),nominated,Three Smart Girls ,Adele Comandini
1936,Writing (Screenplay),nominated,After the Thin Man ,"Frances Goodrich, Albert Hackett"
1936,Writing (Screenplay),nominated,Dodsworth ,Sidney Howard
1936,Writing (Screenplay),nominated,Mr. Deeds Goes to Town ,Robert Riskin
1936,Writing (Screenplay),nominated,My Man Godfrey ,"Eric Hatch, Morris Ryskind"
1936,Writing (Screenplay),won,The Story of Louis Pasteur ,"Pierre Collings, Sheridan Gibney"
1936,Special Award,won,The March of Time,
1936,Special Award,won,W. Howard Greene and Harold Rosson,The Garden of Allah
1937,Actor,nominated,Charles Boyer,Conquest
1937,Actor,nominated,Fredric March,A Star Is Born
1937,Actor,nominated,Robert Montgomery,Night Must Fall
1937,Actor,nominated,Paul Muni,The Life of Emile Zola
1937,Actor,won,Spencer Tracy,Captains Courageous
1937,Actor in a Supporting Role,nominated,Ralph Bellamy,The Awful Truth
1937,Actor in a Supporting Role,nominated,Thomas Mitchell,The Hurricane
1937,Actor in a Supporting Role,won,Joseph Schildkraut,The Life of Emile Zola
1937,Actor in a Supporting Role,nominated,H. B. Warner,Lost Horizon
1937,Actor in a Supporting Role,nominated,Roland Young,Topper
1937,Actress,nominated,Irene Dunne,The Awful Truth
1937,Actress,nominated,Greta Garbo,Camille
1937,Actress,nominated,Janet Gaynor,A Star Is Born
1937,Actress,won,Luise Rainer,The Good Earth
1937,Actress,nominated,Barbara Stanwyck,Stella Dallas
1937,Actress in a Supporting Role,won,Alice Brady,In Old Chicago
1937,Actress in a Supporting Role,nominated,Andrea Leeds,Stage Door
1937,Actress in a Supporting Role,nominated,Anne Shirley,Stella Dallas
1937,Actress in a Supporting Role,nominated,Claire Trevor,Dead End
1937,Actress in a Supporting Role,nominated,Dame May Whitty,Night Must Fall
1937,Art Direction,nominated,Conquest ,"Cedric Gibbons, William Horning"
1937,Art Direction,nominated,A Damsel in Distress ,Carroll Clark
1937,Art Direction,nominated,Dead End ,Richard Day
1937,Art Direction,nominated,Every Day's a Holiday ,Wiard Ihnen
1937,Art Direction,nominated,The Life of Emile Zola ,Anton Grot
1937,Art Direction,won,Lost Horizon ,Stephen Goosson
1937,Art Direction,nominated,Manhattan Merry-Go-Round ,John Victor Mackay
1937,Art Direction,nominated,The Prisoner of Zenda ,Lyle Wheeler
1937,Art Direction,nominated,Souls at Sea ,"Hans Dreier, Roland Anderson"
1937,Art Direction,nominated,Walter Wanger's Vogues of 1938 ,Alexander Toluboff
1937,Art Direction,nominated,Wee Willie Winkie ,"William S. Darling, David Hall"
1937,Art Direction,nominated,You're a Sweetheart ,Jack Otterson
1937,Assistant Director,won,In Old Chicago ,Robert Webb
1937,Assistant Director,nominated,The Life of Emile Zola ,Russ Saunders
1937,Assistant Director,nominated,Lost Horizon ,"C. C. Coleman, Jr."
1937,Assistant Director,nominated,Souls at Sea ,Hal Walker
1937,Assistant Director,nominated,A Star Is Born ,Eric Stacey
1937,Cinematography,nominated,Dead End ,Gregg Toland
1937,Cinematography,won,The Good Earth ,Karl Freund
1937,Cinematography,nominated,Wings over Honolulu ,Joseph Valentine
1937,Dance Direction,nominated,Busby Berkeley,The Finale number from Varsity Show
1937,Dance Direction,nominated,Bobby Connolly,"Too Marvelous for Words number from Ready, Willing and Able"
1937,Dance Direction,nominated,Dave Gould,All God's Children Got Rhythm number from A Day at the Races
1937,Dance Direction,nominated,Sammy Lee,Swing Is Here to Stay number from Ali Baba Goes to Town
1937,Dance Direction,nominated,Harry Losee,Prince Igor Suite number from Thin Ice
1937,Dance Direction,won,Hermes Pan,Fun House number from A Damsel in Distress
1937,Dance Direction,nominated,LeRoy Prinz,Luau number from Waikiki Wedding
1937,Directing,won,The Awful Truth ,Leo McCarey
1937,Directing,nominated,The Good Earth ,Sidney Franklin
1937,Directing,nominated,The Life of Emile Zola ,William Dieterle
1937,Directing,nominated,Stage Door ,Gregory La Cava
1937,Directing,nominated,A Star Is Born ,William Wellman
1937,Film Editing,nominated,The Awful Truth ,Al Clark
1937,Film Editing,nominated,Captains Courageous ,Elmo Veron
1937,Film Editing,nominated,The Good Earth ,Basil Wrangell
1937,Film Editing,won,Lost Horizon ,"Gene Havlick, Gene Milford"
1937,Film Editing,nominated,One Hundred Men and a Girl ,Bernard W. Burton
1937,Music (Scoring),nominated,The Hurricane ,"Samuel Goldwyn Studio Music Department, Alfred Newman, head of department  (Score by Alfred Newman)"
1937,Music (Scoring),nominated,In Old Chicago ,"20th Century-Fox Studio Music Department, Louis Silvers, head of department  (no composer credit)"
1937,Music (Scoring),nominated,The Life of Emile Zola ,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)"
1937,Music (Scoring),nominated,Lost Horizon ,"Columbia Studio Music Department, Morris Stoloff, head of department  (Score by Dimitri Tiomkin)"
1937,Music (Scoring),nominated,Make a Wish ,"Principal Productions, Dr. Hugo Riesenfeld, musical director  (Score by Dr. Hugo Riesenfeld)"
1937,Music (Scoring),nominated,Maytime ,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart)"
1937,Music (Scoring),won,One Hundred Men and a Girl ,"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)"
1937,Music (Scoring),nominated,Portia on Trial ,"Republic Studio Music Department, Alberto Colombo, head of department  (Score by Alberto Colombo)"
