Role	name	year	nominations	rating	duration	genre1	genre2	release	metacritic	synopsis
Actress	 The Farmer's Daughter	1947	2	7.4	97	Drama	Romance	March		Katie Holstrom leaves the farm to become a nurse but is sidetracked into domestic service romance and politics.
Actress	 To Each His Own	1946	2	7.8	122	Drama	Romance	March		An unwed mother forced to give up her child to avoid scandal follows her sons life from afar even as she prospers in business.
Actress	 Mildred Pierce	1945	6	8	111	Crime	Drama			A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.
Actress	 Gaslight	1944	7	7.9	114	Crime	Drama	May		Years after her aunt was murdered in her home a young woman moves back into the house with her new husband. However he has a secret that he will do anything to protect even if it means driving his wife insane.
Actress	 The Song of Bernadette	1943	12	7.7	156	Biography	Drama	April		"In 1858 France Bernadette an adolescent peasant girl has a vision of ""a beautiful lady"" in the city dump. She never claims it to be anything other than this but the townspeople all ...                See full summary »"
Actress	 Mrs. Miniver	1942	12	7.6	134	Drama	Romance	December		A British family struggles to survive the first months of World War II.
Actress	 Suspicion	1941	3	7.5	99	Mystery	Thriller	November		A shy young heiress marries a charming gentleman and soon begins to suspect he is planning to murder her.
Actress	 Kitty Foyle: The Natural History of a Woman	1940	5	7.1	108	Drama	Romance	December		Kitty Foyle a hard-working white-collar girl from a Philadelphia Pennsylvania low middle-class family meets and falls in love with young socialite Wyn Strafford but his family is against her.
Actress	 Gone With the Wind	1939	13	8.2	238	Drama	Romance	January		A manipulative Southern belle carries on a turbulent affair with a blockade runner during the American Civil War.
Actress	 Jezebel	1938	5	7.6	104	Drama	Romance	March		A haughty headstrong Southern Belle in Antebellum Louisiana loses her fiance due to her stubborn vanity and pride and vows to get him back.
Actress	 The Good Earth	1937	5	7.8	138	Drama	Romance	August		The story of a farmer in China: a story of humility and bravery. His father gives Wang Lung a freed slave as wife. By diligence and frugality the two manage to enlarge their property. But ...                See full summary »
Actress	 The Great Ziegfeld	1936	7	6.8	176	Biography	Drama	April		This biography follows the ups and downs of Florenz Ziegfeld famed producer of extravagant stage revues.
Actress	 Dangerous	1935	 	7.2	79	Drama		December		An alcoholic actress who is considered a dangerous jinx is rehabilitated but she then shows that shes as dangerous as ever.
Actress	 It Happened One Night	1934	5	8.2	105	Comedy	Romance	February		A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
Actress	 Morning Glory	1933	 	6.6	74	Drama	Romance	August		When a naively innocent aspiring actress arrives on the Broadway scene she is taken under the wing of several theater veterans who mentor her to ultimate success.
